"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"84","1999","11","Tamil Nadu","South Arcot Cuddalore","18.93","13.04","1.09","37.59","46.48","44.15","34.28","110.04","107.91","255.94","227.59","81.84"
"84","2000","11","Tamil Nadu","South Arcot Cuddalore","24.98","17.63","1.57","32.96","41.18","37.57","54.5","237.62","221.77","209.6","227.57","127.64"
"84","2001","11","Tamil Nadu","South Arcot Cuddalore","31.37","2.24","0.5","63.27","21.39","41.84","94.08","83.6","107.63","276.98","184.4","195.15"
"84","2002","11","Tamil Nadu","South Arcot Cuddalore","51.9","3.9","2.83","6.33","67.31","37.9","25.69","98.56","93.1","313.59","309.05","80.81"
"84","2003","11","Tamil Nadu","South Arcot Cuddalore","11.12","8.32","20.05","24.48","46.56","42.32","112.61","231.2","80.26","219.32","204.32","29.3"
"84","2004","11","Tamil Nadu","South Arcot Cuddalore","27.89","6.57","7.82","28.24","146.74","58.98","68.91","78.37","319.24","290.22","184.62","61.63"
"84","2005","11","Tamil Nadu","South Arcot Cuddalore","21.71","7.88","6.06","47.0","66.19","17.01","72.98","97.07","84.81","443.94","381.98","286.02"
"84","2006","11","Tamil Nadu","South Arcot Cuddalore","30.2","0.87","69.41","23.71","33.94","41.12","49.44","113.91","85.12","416.96","257.8","17.55"
"84","2007","11","Tamil Nadu","South Arcot Cuddalore","14.12","23.83","0.61","36.6","41.99","50.62","124.5","196.21","120.66","243.38","136.99","209.05"
"84","2008","11","Tamil Nadu","South Arcot Cuddalore","45.94","25.66","68.98","28.85","17.41","53.01","67.99","372.12","78.66","324.98","433.65","104.59"
"84","2009","11","Tamil Nadu","South Arcot Cuddalore","25.04","0.37","21.78","20.94","64.84","35.49","31.18","228.22","121.95","69.06","438.55","205.99"
"84","2010","11","Tamil Nadu","South Arcot Cuddalore","14.48","0.29","1.51","16.25","38.88","54.41","134.71","158.71","258.09","205.49","358.93","199.2"
"84","2011","11","Tamil Nadu","South Arcot Cuddalore","25.95","47.43","0.31","58.89","37.03","35.7","76.08","181.26","96.42","232.56","335.73","179.69"
"84","2012","11","Tamil Nadu","South Arcot Cuddalore","30.66","1.76","3.99","12.91","15.42","16.12","39.79","134.8","136.23","263.13","168.1","174.57"
"84","2013","11","Tamil Nadu","South Arcot Cuddalore","15.44","32.62","53.78","3.42","77.28","68.93","70.32","142.18","111.62","152.49","222.15","104.19"
"84","2014","11","Tamil Nadu","South Arcot Cuddalore","18.07","8.47","2.19","6.18","69.88","72.15","51.24","134.81","107.74","358.44","127.15","122.72"
"84","2015","11","Tamil Nadu","South Arcot Cuddalore","26.97","5.97","13.7","54.21","90.72","36.27","78.19","195.88","196.13","165.18","387.15","103.85"
"85","1990","11","Tamil Nadu","North Arcot Vellore","16.96","4.72","22.0","7.3","131.37","33.74","56.55","87.19","152.34","230.16","87.03","21.91"
