Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters)
84,2001,11,Tamil Nadu,South Arcot Cuddalore,2.7,0,0,21.5,37.3,25.7,95.2,82.5,85.1,207.4,146.1,141.6
84,2002,11,Tamil Nadu,South Arcot Cuddalore,26.1,174.2,0,0,25,46.2,61.6,19.8,73.2,236.5,226.9,106.7
84,2003,11,Tamil Nadu,South Arcot Cuddalore,0,0,0.2,21.5,70.8,30.4,84.3,224.8,94.5,304.4,446.7,28.1
84,2004,11,Tamil Nadu,South Arcot Cuddalore,21.6,0,7.5,0.4,250.1,81.4,27.6,75.1,253.8,503.1,389.1,16.3
84,2005,11,Tamil Nadu,South Arcot Cuddalore,1.5,7.9,1.6,129.3,75.2,2.2,41,79.6,217.5,260.4,824.3,261.4
84,2006,11,Tamil Nadu,South Arcot Cuddalore,29.7,0,9.7,6.6,50.4,54.6,38,51.9,102,471.5,407.1,128.7
84,2007,11,Tamil Nadu,South Arcot Cuddalore,0,11.5,0,17.8,24.9,17.8,104.1,143.3,65.3,422,87.9,327.8
84,2008,11,Tamil Nadu,South Arcot Cuddalore,73.3,28,272.5,3.9,41.8,50.4,59,92.7,78.7,257.4,728,151.1
84,2009,11,Tamil Nadu,South Arcot Cuddalore,20.2,0,69.1,36.6,21.3,39,61.4,125.4,105.9,54.3,372.5,163.1
84,2010,11,Tamil Nadu,South Arcot Cuddalore,2.3,0,0,0.6,137.5,68.5,36.3,149.9,108.2,145.4,553.3,345
84,2011,11,Tamil Nadu,South Arcot Cuddalore,45.2,24.8,0,105.2,15.4,-1,-1,-1,-1,-1,-1,-1
84,2012,11,Tamil Nadu,South Arcot Cuddalore,5.6,0,5.1,14.8,24,2.4,55.4,78.6,109.1,479.6,94.3,13.9
84,2013,11,Tamil Nadu,South Arcot Cuddalore,0.1,21.2,28.8,0.1,30.5,51.7,38.1,239.2,125.4,114.8,236.7,91.1
84,2014,11,Tamil Nadu,South Arcot Cuddalore,1.9,13.7,0,0,174.1,52.4,41.6,169.2,69.5,309.7,238,147.8
84,2015,11,Tamil Nadu,South Arcot Cuddalore,14.7,0,0.4,64.1,95.7,72.2,83.3,88.1,46.7,99.1,726.4,415
84,2016,11,Tamil Nadu,South Arcot Cuddalore,0.7,0.1,0.4,0,96.9,104.1,66.9,117,58,60.6,32.1,37.7
84,2017,11,Tamil Nadu,South Arcot Cuddalore,114,0.3,12.4,0,11,65.3,69,211.1,121.9,202.9,391.4,181.6
85,1990,11,Tamil Nadu,North Arcot Vellore,36.3,12.3,33.1,14,123.9,31.9,41.4,91.9,213.4,134.5,144.4,18
85,1991,11,Tamil Nadu,North Arcot Vellore,1.9,0,0.5,19,10.6,168.2,32.9,148.1,149,298.7,309.5,1.4
85,1992,11,Tamil Nadu,North Arcot Vellore,12,0,0,7.2,30.2,45.4,76.5,86.7,119.2,193.6,218.4,19.2
