"Dist Code","Year","State Code","State Name","Dist Name","JANUARY ACTUAL (Millimeters)","FEBRUARY ACTUAL (Millimeters)","MARCH ACTUAL (Millimeters)","APRIL ACTUAL (Millimeters)","MAY ACTUAL (Millimeters)","JUNE ACTUAL (Millimeters)","JULY ACTUAL (Millimeters)","AUGUST ACTUAL (Millimeters)","SEPTEMBER ACTUAL (Millimeters)","OCTOBER ACTUAL (Millimeters)","NOVEMBER ACTUAL (Millimeters)","DECEMBER ACTUAL (Millimeters)"
"84","1999","11","Tamil Nadu","South Arcot Cuddalore","88.23","82.45","75.17","77.85","68.11","56.0","41.96","111.12","107.67","124.69","110.28","94.56"
"84","2000","11","Tamil Nadu","South Arcot Cuddalore","74.34","62.87","49.27","57.35","54.03","45.46","58.73","169.62","149.96","128.7","112.59","105.0"
"84","2001","11","Tamil Nadu","South Arcot Cuddalore","88.77","70.06","74.43","93.39","50.21","56.11","99.92","86.86","107.61","126.89","103.68","108.42"
"84","2002","11","Tamil Nadu","South Arcot Cuddalore","88.07","68.8","64.68","48.1","86.53","49.26","33.28","100.05","93.32","128.71","108.79","98.3"
"84","2003","11","Tamil Nadu","South Arcot Cuddalore","81.54","71.36","77.09","63.21","66.17","53.3","114.37","159.98","98.72","128.17","109.8","69.47"
"84","2004","11","Tamil Nadu","South Arcot Cuddalore","68.4","49.8","44.6","46.62","144.19","66.51","72.86","79.97","148.6","128.13","107.8","93.79"
"84","2005","11","Tamil Nadu","South Arcot Cuddalore","83.27","70.53","70.78","78.0","85.47","29.78","78.45","98.8","85.57","124.14","106.34","105.69"
"84","2006","11","Tamil Nadu","South Arcot Cuddalore","86.52","71.74","110.35","78.05","70.08","58.6","59.09","116.37","87.03","128.4","105.36","75.35"
"84","2007","11","Tamil Nadu","South Arcot Cuddalore","76.15","72.39","61.21","68.93","59.73","60.32","124.24","155.39","122.51","129.18","103.54","103.88"
"84","2008","11","Tamil Nadu","South Arcot Cuddalore","83.62","73.93","104.89","73.22","53.28","68.71","75.99","156.51","116.46","126.88","108.73","99.61"
"84","2009","11","Tamil Nadu","South Arcot Cuddalore","84.57","68.51","83.47","68.04","88.04","49.24","39.74","161.38","126.89","82.18","104.94","107.25"
"84","2010","11","Tamil Nadu","South Arcot Cuddalore","80.94","69.68","71.34","61.27","59.79","65.3","133.58","147.1","147.72","128.62","101.77","102.94"
"84","2011","11","Tamil Nadu","South Arcot Cuddalore","87.95","91.88","81.5","94.33","72.7","53.19","84.25","161.45","101.55","123.72","105.8","107.91"
"84","2012","11","Tamil Nadu","South Arcot Cuddalore","82.26","72.16","74.56","59.28","39.78","29.84","47.41","133.57","133.01","131.44","108.68","113.35"
"84","2013","11","Tamil Nadu","South Arcot Cuddalore","71.12","72.07","89.72","41.91","93.94","77.72","75.08","138.62","110.85","131.11","106.23","95.47"
"84","2014","11","Tamil Nadu","South Arcot Cuddalore","60.29","36.28","23.33","18.34","74.78","74.64","53.35","131.44","105.41","131.34","105.15","104.61"
"84","2015","11","Tamil Nadu","South Arcot Cuddalore","76.77","62.9","63.38","78.61","102.88","45.4","81.9","165.23","164.22","129.55","104.67","103.26"
"85","1990","11","Tamil Nadu","North Arcot Vellore","50.04","32.0","36.15","15.81","130.22","36.49","57.07","85.46","134.24","125.39","87.68","49.38"
"85","1991","11","Tamil Nadu","North Arcot Vellore","33.13","22.85","11.29","34.49","57.34","121.54","69.46","116.93","115.55","123.56","101.67","64.54"
"85","1992","11","Tamil Nadu","North Arcot Vellore","58.85","38.92","22.97","16.79","59.05","54.04","69.77","102.22","95.51","114.97","102.69","39.09"
"85","1993","11","Tamil Nadu","North Arcot Vellore","12.84","8.87","12.41","17.36","132.02","74.06","75.59","107.23","81.81","122.6","101.5","96.11"
"85","1994","11","Tamil Nadu","North Arcot Vellore","34.36","36.78","15.8","28.48","105.9","44.3","87.21","95.16","62.87","123.67","100.96","64.41"
"85","1995","11","Tamil Nadu","North Arcot Vellore","63.86","22.3","26.73","28.29","104.47","51.01","110.53","148.09","144.38","124.16","77.78","36.4"
"85","1996","11","Tamil Nadu","North Arcot Vellore","26.45","17.54","10.78","51.54","37.96","73.95","55.41","128.47","95.22","122.8","69.0","84.85"
"85","1997","11","Tamil Nadu","North Arcot Vellore","28.08","13.15","19.49","44.02","33.33","69.26","44.7","109.75","118.72","122.92","101.72","94.75"
"85","1998","11","Tamil Nadu","North Arcot Vellore","70.03","56.26","35.41","39.17","93.85","34.73","135.73","134.11","115.58","122.69","100.71","95.65"
"85","1999","11","Tamil Nadu","North Arcot Vellore","53.01","39.53","18.04","49.28","76.99","75.55","65.87","110.32","111.1","119.49","98.63","54.82"
"85","2000","11","Tamil Nadu","North Arcot Vellore","22.52","22.1","7.51","39.97","56.51","70.04","98.4","148.84","136.67","121.06","94.44","63.34"
"85","2001","11","Tamil Nadu","North Arcot Vellore","40.97","21.8","11.86","69.87","40.06","41.94","119.42","69.14","136.05","120.47","88.22","78.53"
"85","2002","11","Tamil Nadu","North Arcot Vellore","51.23","28.18","16.94","11.79","104.6","62.69","46.66","96.33","94.19","122.42","100.37","52.99"
"85","2003","11","Tamil Nadu","North Arcot Vellore","31.76","22.04","24.73","31.99","25.99","57.73","130.26","135.69","82.82","122.15","67.87","32.37"
"85","2004","11","Tamil Nadu","North Arcot Vellore","28.82","9.15","9.89","37.98","146.27","69.36","125.02","62.54","134.83","121.97","89.26","59.9"
"85","2005","11","Tamil Nadu","North Arcot Vellore","46.95","34.31","21.25","52.1","113.83","41.66","115.34","116.11","124.86","117.63","98.69","91.92"
"85","2006","11","Tamil Nadu","North Arcot Vellore","67.77","53.59","84.17","48.01","78.59","92.03","84.85","89.51","91.8","123.36","93.91","49.54"
"85","2007","11","Tamil Nadu","North Arcot Vellore","36.46","39.29","20.45","55.0","54.99","74.31","143.57","138.1","140.55","123.56","77.01","87.01"
"85","2008","11","Tamil Nadu","North Arcot Vellore","54.56","48.62","68.71","41.66","38.52","71.35","126.67","139.12","116.19","119.8","104.53","64.18"
"85","2009","11","Tamil Nadu","North Arcot Vellore","59.32","39.66","35.9","27.06","106.92","76.12","44.96","131.92","142.57","51.44","101.68","81.69"
"85","2010","11","Tamil Nadu","North Arcot Vellore","39.2","26.1","19.04","36.97","87.48","96.97","123.86","124.88","135.49","121.07","98.86","77.19"
"85","2011","11","Tamil Nadu","North Arcot Vellore","45.9","63.15","21.06","72.67","80.02","65.66","119.97","144.31","127.6","119.71","100.31","73.64"
"85","2012","11","Tamil Nadu","North Arcot Vellore","49.1","34.26","24.55","19.85","48.17","31.86","74.53","143.6","122.79","125.54","103.72","71.51"
"85","2013","11","Tamil Nadu","North Arcot Vellore","19.15","29.59","35.9","11.33","116.91","131.6","129.0","113.79","135.1","121.36","102.98","49.74"
"85","2014","11","Tamil Nadu","North Arcot Vellore","26.33","17.57","9.61","10.17","62.02","140.47","69.8","124.99","121.03","125.2","83.38","69.0"
"85","2015","11","Tamil Nadu","North Arcot Vellore","54.69","27.04","27.3","58.3","104.47","57.07","109.34","127.27","110.65","92.48","100.11","62.17"
"86","1990","11","Tamil Nadu","Salem","64.91","14.09","20.7","14.67","123.93","41.81","43.67","64.5","87.27","128.46","97.9","62.11"
"86","1991","11","Tamil Nadu","Salem","34.58","24.56","8.34","75.42","83.64","90.55","47.71","111.9","79.82","126.22","110.77","72.84"
"86","1992","11","Tamil Nadu","Salem","39.3","16.97","8.56","19.64","74.63","49.62","52.34","88.8","100.5","120.44","111.8","28.37"
"86","1993","11","Tamil Nadu","Salem","5.73","4.44","12.6","32.23","96.89","59.0","48.51","62.62","60.28","128.08","108.96","97.96"
"86","1994","11","Tamil Nadu","Salem","35.73","23.53","11.06","62.75","116.7","37.95","70.94","67.68","65.24","126.89","106.31","66.14"
"86","1995","11","Tamil Nadu","Salem","58.69","16.09","22.88","47.87","94.37","56.42","74.19","145.62","98.08","122.04","61.06","5.37"
"86","1996","11","Tamil Nadu","Salem","9.38","5.97","6.71","47.76","56.65","74.03","49.92","117.31","77.28","122.88","39.2","74.66"
"86","1997","11","Tamil Nadu","Salem","12.69","1.69","21.96","51.33","51.45","51.28","46.36","104.25","104.1","125.34","110.34","102.39"
"86","1998","11","Tamil Nadu","Salem","62.06","31.53","13.95","33.1","121.13","26.46","111.08","139.31","117.85","127.91","105.75","109.48"
"86","1999","11","Tamil Nadu","Salem","68.27","40.66","16.02","66.84","114.14","48.63","47.09","67.0","91.75","120.68","107.59","76.39"
"86","2000","11","Tamil Nadu","Salem","43.8","28.56","8.9","62.03","76.61","39.59","58.97","145.08","138.78","125.35","109.16","86.05"
"86","2001","11","Tamil Nadu","Salem","62.56","29.37","13.21","101.19","44.41","32.2","90.03","71.64","111.04","125.56","86.43","65.39"
"86","2002","11","Tamil Nadu","Salem","31.75","12.15","8.6","13.88","114.86","63.49","29.23","57.54","69.41","124.74","106.51","71.36"
"86","2003","11","Tamil Nadu","Salem","38.26","22.48","18.35","61.07","49.69","48.7","93.86","128.36","58.72","123.58","94.29","45.64"
"86","2004","11","Tamil Nadu","Salem","34.47","13.74","10.31","45.12","165.07","67.52","112.74","64.12","135.9","121.48","92.35","63.15"
"86","2005","11","Tamil Nadu","Salem","45.52","23.32","15.63","70.63","97.0","37.49","92.64","96.13","94.48","120.11","106.14","93.17"
"86","2006","11","Tamil Nadu","Salem","62.27","31.36","85.12","38.2","85.83","60.83","48.62","69.14","99.73","126.89","100.58","51.5"
"86","2007","11","Tamil Nadu","Salem","30.16","21.82","8.39","77.76","109.53","41.3","119.24","132.44","136.8","126.87","89.38","86.78"
"86","2008","11","Tamil Nadu","Salem","40.19","39.3","78.68","44.0","43.18","60.61","113.5","137.67","114.37","121.4","108.06","76.71"
"86","2009","11","Tamil Nadu","Salem","46.24","22.14","33.52","39.48","101.47","82.96","32.59","127.16","131.21","68.59","109.23","83.12"
"86","2010","11","Tamil Nadu","Salem","29.76","11.97","9.49","56.87","84.36","52.35","113.52","97.63","139.46","124.6","104.01","85.58"
"86","2011","11","Tamil Nadu","Salem","56.7","64.94","16.02","80.61","75.72","38.58","73.68","138.33","97.97","120.68","102.84","73.05"
"86","2012","11","Tamil Nadu","Salem","35.58","18.43","10.66","27.95","57.28","15.89","45.25","108.49","89.19","124.61","109.89","67.0"
"86","2013","11","Tamil Nadu","Salem","19.56","25.88","33.7","12.82","112.62","76.74","87.55","82.46","121.53","124.36","110.42","37.96"
"86","2014","11","Tamil Nadu","Salem","14.74","8.85","7.16","18.37","89.82","75.02","64.21","91.0","141.62","123.14","87.36","64.94"
"86","2015","11","Tamil Nadu","Salem","52.29","20.57","35.5","82.89","152.28","46.5","78.21","110.93","143.8","125.77","107.68","83.52"
"87","1990","11","Tamil Nadu","Coimbatore","62.67","19.29","24.39","13.38","104.67","65.5","90.43","71.86","65.57","116.87","106.84","71.5"
"87","1991","11","Tamil Nadu","Coimbatore","36.29","24.24","16.82","77.23","132.83","95.91","95.33","91.56","65.1","116.01","106.83","67.36"
