"Dist Code","Year","State Code","State Name","Dist Name","JANUARY WATER DEFICIT (Millimeters)","FEBRUARY WATER DEFICIT (Millimeters)","MARCH WATER DEFICIT (Millimeters)","APRIL WATER DEFICIT (Millimeters)","MAY WATER DEFICIT (Millimeters)","JUNE WATER DEFICIT (Millimeters)","JULY WATER DEFICIT (Millimeters)","AUGUST WATER DEFICIT (Millimeters)","OCTOBER WATER DEFICIT (Millimeters)","NOVEMBER WATER DEFICIT (Millimeters)","DECEMBER WATER DEFICIT (Millimeters)"
"84","2001","11","Tamil Nadu","South Arcot Cuddalore","36.41","56.04","96.51","68.01","155.44","139.73","77.32","88.19","48.31","0.0","0.04"
"84","2002","11","Tamil Nadu","South Arcot Cuddalore","32.85","67.85","103.67","119.63","115.19","127.55","144.12","80.67","69.69","0.0","0.0"
"84","2003","11","Tamil Nadu","South Arcot Cuddalore","48.41","63.3","94.92","108.44","134.52","138.32","46.05","0.0","64.4","0.0","0.0"
"84","2004","11","Tamil Nadu","South Arcot Cuddalore","54.25","60.86","124.15","131.01","31.76","115.32","86.79","88.92","0.0","0.0","0.07"
"84","2005","11","Tamil Nadu","South Arcot Cuddalore","43.49","60.86","102.13","82.64","97.32","156.58","96.41","63.98","70.61","0.0","0.0"
"84","2006","11","Tamil Nadu","South Arcot Cuddalore","33.66","54.65","50.77","89.97","120.75","109.17","119.91","58.06","68.68","0.0","0.0"
"84","2007","11","Tamil Nadu","South Arcot Cuddalore","48.61","55.01","102.67","94.14","123.95","100.3","35.61","0.24","34.19","0.0","1.28"
"84","2008","11","Tamil Nadu","South Arcot Cuddalore","33.35","50.8","53.48","88.1","140.24","115.35","86.2","0.0","40.36","0.0","0.0"
"84","2009","11","Tamil Nadu","South Arcot Cuddalore","37.45","56.71","80.07","104.62","95.56","130.33","140.59","0.0","31.75","54.2","0.0"
"84","2010","11","Tamil Nadu","South Arcot Cuddalore","40.87","58.96","95.14","112.76","124.39","102.2","31.64","5.83","0.0","0.0","0.0"
"84","2011","11","Tamil Nadu","South Arcot Cuddalore","36.85","37.29","85.87","66.9","118.22","141.04","90.83","4.57","60.16","0.0","0.0"
"84","2012","11","Tamil Nadu","South Arcot Cuddalore","33.94","58.34","95.52","109.47","151.46","162.94","124.75","40.01","29.79","0.0","0.0"
"84","2013","11","Tamil Nadu","South Arcot Cuddalore","55.44","61.05","79.59","132.19","104.99","119.94","106.69","27.19","47.99","0.08","0.0"
"84","2014","11","Tamil Nadu","South Arcot Cuddalore","90.98","90.69","146.72","152.91","109.14","109.62","134.88","39.98","55.61","0.0","3.31"
"84","2015","11","Tamil Nadu","South Arcot Cuddalore","46.55","71.01","108.85","90.29","75.45","131.77","97.75","0.27","0.36","0.0","0.0"
"85","1990","11","Tamil Nadu","North Arcot Vellore","63.28","103.56","138.84","165.1","58.03","138.35","99.27","68.16","8.16","0.0","14.24"
"85","1991","11","Tamil Nadu","North Arcot Vellore","85.1","110.45","166.85","143.25","132.2","38.19","92.3","39.27","24.89","0.0","0.0"
"85","1992","11","Tamil Nadu","North Arcot Vellore","57.6","96.14","153.18","168.67","121.97","110.4","82.56","50.26","45.38","6.61","0.72"
"85","1993","11","Tamil Nadu","North Arcot Vellore","104.52","126.17","166.75","167.15","62.72","93.28","84.96","49.77","61.87","0.0","4.05"
"85","1994","11","Tamil Nadu","North Arcot Vellore","85.08","94.92","165.87","147.58","85.56","137.34","69.69","62.25","85.99","0.0","3.25"
"85","1995","11","Tamil Nadu","North Arcot Vellore","56.43","114.17","151.27","150.43","84.58","129.82","40.93","0.0","1.94","1.19","27.23"
"85","1996","11","Tamil Nadu","North Arcot Vellore","98.84","124.32","176.39","121.58","161.26","89.51","97.34","21.04","44.1","0.01","33.88"
"85","1997","11","Tamil Nadu","North Arcot Vellore","85.3","111.81","153.96","120.84","148.85","95.28","116.34","52.87","20.56","0.0","0.0"
"85","1998","11","Tamil Nadu","North Arcot Vellore","48.75","84.5","151.0","138.01","91.58","142.67","7.41","0.0","22.96","0.0","0.99"
"85","1999","11","Tamil Nadu","North Arcot Vellore","65.63","99.16","160.68","129.97","104.8","100.58","87.07","36.53","32.31","0.0","5.16"
"85","2000","11","Tamil Nadu","North Arcot Vellore","95.15","109.76","164.96","134.44","131.37","100.69","56.42","1.96","0.0","0.0","12.56"
"85","2001","11","Tamil Nadu","North Arcot Vellore","75.88","106.58","160.5","90.44","159.09","137.34","38.47","89.61","1.18","0.0","12.24"
"85","2002","11","Tamil Nadu","North Arcot Vellore","63.46","105.52","157.14","162.39","92.19","98.34","110.91","66.67","54.39","0.0","3.42"
"85","2003","11","Tamil Nadu","North Arcot Vellore","88.27","112.99","149.9","143.14","173.78","111.82","8.82","12.16","71.81","0.0","39.74"
"85","2004","11","Tamil Nadu","North Arcot Vellore","86.18","96.81","165.15","138.69","22.09","94.7","11.91","94.0","0.0","0.0","12.6"
"85","2005","11","Tamil Nadu","North Arcot Vellore","71.76","96.81","154.89","114.36","64.1","124.36","32.66","31.05","13.82","0.0","0.0"
"85","2006","11","Tamil Nadu","North Arcot Vellore","44.0","69.92","80.83","122.69","111.44","58.33","79.18","69.68","47.98","0.0","7.45"
"85","2007","11","Tamil Nadu","North Arcot Vellore","78.19","87.65","150.24","111.54","126.46","72.79","0.0","0.0","0.01","0.0","22.94"
"85","2008","11","Tamil Nadu","North Arcot Vellore","56.36","76.34","88.05","122.73","147.57","98.97","12.93","0.0","22.78","0.0","0.0"
"85","2009","11","Tamil Nadu","North Arcot Vellore","54.2","86.55","132.49","147.19","68.26","81.25","117.28","12.41","0.0","82.57","0.0"
"85","2010","11","Tamil Nadu","North Arcot Vellore","75.83","101.94","152.38","138.82","91.49","52.6","16.01","10.97","0.31","0.0","0.0"
"85","2011","11","Tamil Nadu","North Arcot Vellore","68.09","63.3","148.36","89.31","102.99","114.53","35.22","0.0","20.73","0.0","0.87"
"85","2012","11","Tamil Nadu","North Arcot Vellore","57.51","93.44","148.6","149.3","140.45","142.7","76.27","7.73","23.43","0.0","0.94"
"85","2013","11","Tamil Nadu","North Arcot Vellore","97.56","101.21","137.55","163.2","68.4","43.01","27.46","37.7","0.0","2.2","0.0"
"85","2014","11","Tamil Nadu","North Arcot Vellore","108.67","109.13","163.43","167.81","113.87","28.38","96.92","26.59","27.69","0.0","20.78"
"85","2015","11","Tamil Nadu","North Arcot Vellore","60.13","101.8","139.16","111.65","67.22","95.06","45.36","18.6","32.21","30.02","0.0"
"86","1990","11","Tamil Nadu","Salem","62.12","130.19","164.46","164.57","60.58","124.71","110.32","87.31","60.23","0.0","12.8"
"86","1991","11","Tamil Nadu","Salem","98.28","121.06","178.04","102.41","92.72","68.06","111.53","43.24","66.79","0.0","0.0"
"86","1992","11","Tamil Nadu","Salem","92.94","127.01","177.14","163.9","104.23","112.98","100.54","66.18","46.53","6.92","0.65"
"86","1993","11","Tamil Nadu","Salem","126.61","142.36","176.1","153.37","90.84","106.52","111.97","94.86","89.93","0.0","5.59"
